site,title,price,price_numeric,description,url,image_url,scraped_date
Brigitte Sauvager,,,,,https://www.brigitte-sauvager.com/,https://www.brigitte-sauvager.com/images/logo-brigitte-sauvager.png,2026-02-04
Brigitte Sauvager,"Nantes Boccage, 140 m²",592 800 € F.A.I,592800,"Appartement T5 traversant de 140 m² au 6e étage avec ascenseur, grand balcon et parking sous-sol",https://www.brigitte-sauvager.com/appartement-t5-traversant-de-140-m-au-6e-etage-avec-ascenseur-grand-balcon-et-parking-sous-sol,https://www.brigitte-sauvager.com/cms/310_218-IMG_0285.jpg,2026-02-04
Brigitte Sauvager,"Nantes Camus, 58 m² - 70 m² au sol",273 000 € F.A.I,273000,Appartement T2 en duplex avec terrasse vue dégagée sur la Chézine dernier étage avec ascenseur,https://www.brigitte-sauvager.com/appartement-t2-en-duplex-avec-terrasse-vue-degagee-sur-la-chezine-dernier-etage-avec-ascenseur,https://www.brigitte-sauvager.com/cms/310_218-IMG_9278.jpg,2026-02-04
Brigitte Sauvager,"Nantes Procé, 150 m²",648 000 € F.A.I,648000,"Appartement T5 seul au dernier étage traversant Est/Ouest avec balcons, ascenseur et grand garage double",https://www.brigitte-sauvager.com/appartement-t5-seul-au-dernier-etage-traversant-estouest-avec-balcons-ascenseur-et-grand-garage-double,https://www.brigitte-sauvager.com/cms/310_218-IMG_0031.jpg,2026-02-04
Brigitte Sauvager,"Nantes Delorme, 99 m²",566 500 € F.A.I,566500,Appartement T4 de 99 m² en étage élevé avec parking dans une résidence de standing avec ascenseur,https://www.brigitte-sauvager.com/appartement-t4-de-99-m-en-etage-eleve-avec-parking-dans-une-residence-de-standing-avec-ascenseur,https://www.brigitte-sauvager.com/cms/310_218-IMG_9446.jpg,2026-02-04
Brigitte Sauvager,"Orvault bourg, 61.63 m²",259 900 € F.A.I,259900,Bel appartement T3 avec terrasse sud-ouest dans un immeuble récent avec ascenseur,https://www.brigitte-sauvager.com/bel-appartement-t3-avec-terrasse-sud-ouest-dans-un-immeuble-recent-avec-ascenseur,https://www.brigitte-sauvager.com/cms/310_218-WEBIMG_1683.jpg,2026-02-04
Brigitte Sauvager,"Nantes Camus, 111 m²",468 000 € F.A.I,468000,Bel appartement T4 traversant avec terrasse Sud/Ouest parking résidence standing avec vue dégagée,https://www.brigitte-sauvager.com/bel-appartement-t4-traversant-avec-terrasse-sudouest-parking-residence-standing-avec-vue-degagee,https://www.brigitte-sauvager.com/cms/310_218-IMG_0219.jpg,2026-02-04
Brigitte Sauvager,"Nantes Gaudinière, 66 m²",246 750 € F.A.I,246750,Appartement T3 de 66 m² au deuxième étage avec ascenseur balcon et parking,https://www.brigitte-sauvager.com/appartement-t3-de-66-m-au-deuxieme-etage-avec-ascenseur-balcon-et-parking,https://www.brigitte-sauvager.com/cms/310_218-photo-sejour-close.jpg,2026-02-04
Brigitte Sauvager,"Nantes Rond point de Vannes, 50.21 m²",189 900 € F.A.I,189900,Appartement T2 de 50.21 m² dans une résidence récente avec ascenseur et parking sous-sol,https://www.brigitte-sauvager.com/appartement-t2-de-5021-m-dans-une-residence-recente-avec-ascenseur-et-parking-sous-sol,https://www.brigitte-sauvager.com/cms/310_218-IMG_0326.jpg,2026-02-04
Brigitte Sauvager,"Nantes Guist'hau, 155 m²",635 000 € F.A.I,635000,Appartement duplex en dernier étage avec terrasses plein ciel  dans une résidence de standing avec ascenseur,https://www.brigitte-sauvager.com/appartement-duplex-en-dernier-etage-avec-terrasses-plein-ciel-dans-une-residence-de-standing-avec-ascenseur,https://www.brigitte-sauvager.com/cms/310_218-undefined-undefined-gepetto.jpg,2026-02-04
Brigitte Sauvager,"NANTES Monselet, 70 m²",289 900 € F.A.I,289900,Appartement T3 de 70 m² traversant dans un immeuble de caractère au calme et entouré de verdure,https://www.brigitte-sauvager.com/appartement-t3-de-70-m-traversant-dans-un-immeuble-de-caractere-au-calme-et-entoure-de-verdure,https://www.brigitte-sauvager.com/cms/310_218-PXL_20251024_084028877.jpg,2026-02-04
Brigitte Sauvager,"Nantes Procé, 56 m²",273 000 € F.A.I,273000,Appartement T2 de 56 m² au 4e étage avec ascenseur dans une résidence entourée de verdur,https://www.brigitte-sauvager.com/appartement-t2-de-56-m-au-4e-etage-avec-ascenseur-dans-une-residence-entouree-de-verdur,https://www.brigitte-sauvager.com/cms/310_218-IMG_8902.jpg,2026-02-04
Brigitte Sauvager,"Nantes Copernic, 156 m²",599 000 € F.A.I,599000,Magnifique appartement de 156 m² au deuxième étage avec ascenseur d'un immeuble de caractère ravalé,https://www.brigitte-sauvager.com/magnifique-appartement-de-156-m-au-deuxieme-etage-avec-ascenseur-dun-immeuble-de-caractere-entierement-ravale,https://www.brigitte-sauvager.com/cms/310_218-IMG_9985.jpg,2026-02-04
